CFI_0,CFI_1,ACC_0,ACC_1,ACC_2,ACC_3,ACC_4,ACC_5,ACC_6,ACC_7,NBYTES,COUNTER,CODESIZE_0,CODESIZE_1
0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x60,2,0,0x00,0x8e
0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x6040,2,1,0x00,0x8e
0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,2,2,0x00,0x8e
0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,2,3,0x00,0x8e
0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x76,1,0,0x00,0x8e
0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,1,1,0x00,0x8e
0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,1,2,0x00,0x8e
0,0,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,1,3,0x00,0x8e
0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x45,1,0,0x00,0x2026
0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,1,1,0x00,0x2026
0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,1,2,0x00,0x2026
0,1,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,1,3,0x00,0x2026
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x65,3,0,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x6543,3,1,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x6543,0x20,3,2,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,3,3,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x12,2,0,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x1234,2,1,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,2,2,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,2,3,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x76,2,0,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x7645,2,1,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,2,2,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,2,3,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x45,2,0,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x4523,2,1,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,2,2,0x00,0x5c89
0,2,0x00,0x00,0x00,0x00,0x00,0x00,0x00,0x00,2,3,0x00,0x5c89
